Date,Open,High,Low,Close,Adj_Close,Volume,FilterYear,Year
10/1/05,76.692162,80.879539,75.239006,78.27916,46.448696,146316365,0,2005
11/1/05,78.250481,85.984703,77.093689,84.99044,50.430992,115755068,0,2005
12/1/05,85.229446,85.965584,77.973228,78.585083,46.742039,125574811,0,2005
1/1/06,78.824089,81.290634,76.682602,77.724663,46.230274,153230215,0,2006
2/1/06,77.342255,78.623329,75.458893,76.711281,45.627522,116160600,1,2006
3/1/06,76.673042,81.252388,76.013382,78.843208,47.013325,116644586,0,2006
4/1/06,79.082214,80.736137,77.084129,78.718925,46.939213,119251322,0,2006
5/1/06,78.957932,80.00956,75.583176,76.38623,45.548252,118351239,0,2006
6/1/06,76.376671,77.313576,72.715103,73.441681,43.950775,145872860,0,2006
7/1/06,74.13002,75.076485,69.531548,74.005737,44.288334,143498963,0,2006
8/1/06,73.27916,78.087952,71.749519,77.40918,46.325115,105520791,0,2006
9/1/06,77.562141,80.105164,75.822182,78.336517,47.067047,107503803,0,2006
10/1/06,78.164436,88.60421,77.973228,88.2696,53.035145,178204197,0,2006
11/1/06,88.432121,89.913956,86.453156,87.877632,52.799648,109233781,0,2006
12/1/06,87.858505,93.575523,86.567879,92.877632,55.984894,109275829,0,2006
1/1/07,92.906311,96.462715,90.391968,94.789673,57.13744,201566293,0,2007
2/1/07,94.617592,96.022942,88.403442,88.852776,53.558781,131561906,1,2007
3/1/07,86.281075,91.596558,84.866158,90.114723,54.483135,170701447,0,2007
4/1/07,90.353729,98.47036,89.780113,97.715103,59.07832,174480331,0,2007
5/1/07,97.571701,103.298279,96.892921,101.912048,61.615795,153177706,0,2007
6/1/07,101.931168,102.523903,97.093689,100.621414,61.072254,177403692,0,2007
7/1/07,100.755257,113.594643,99.980881,105.783936,64.205673,222544450,0,2007
8/1/07,105.53537,112.189293,99.13958,111.558319,67.710457,212203590,0,2007
9/1/07,111.223709,113.661568,109.273422,112.619499,68.596245,138316553,0,2007
10/1/07,112.437859,116.118546,106.080307,111.013382,67.61792,179565774,0,2007
11/1/07,110.420647,110.984703,94.904396,100.554497,61.247452,210162947,0,2007
12/1/07,100.908218,107.25621,99.426384,103.346077,63.171055,140322574,0,2007
1/1/08,104.196938,104.196938,92.772469,102.39962,62.592548,258909998,0,2008
2/1/08,102.447418,111.500954,96.175911,108.852776,66.537071,176021717,1,2008
